Time,F0
0.7603514739229053,262.87837813370254
0.7703514739229053,259.3902020958889
0.7803514739229053,241.93898255480332
0.7903514739229053,232.2931504368114
0.8003514739229053,219.78824095698045
0.8103514739229053,206.6521173561933
0.9203514739229052,278.8324246489129
0.9303514739229052,271.94014662550256
0.9403514739229052,264.6749896317931
0.9503514739229052,261.716227426437
0.9603514739229052,259.7843196097368
0.9703514739229052,259.84737163930413
0.9803514739229052,264.19276419428144
0.9903514739229052,267.7736450684581
1.0003514739229051,269.86993463681875
1.0103514739229051,280.0973800277424
1.0203514739229052,282.40867632437806
1.0303514739229052,280.8582646358344
1.0403514739229052,278.3878147842381
1.0503514739229052,270.5085066697636
1.0603514739229052,267.14002609380213
1.0703514739229052,266.7353025908561
1.0803514739229052,266.37969253767153
1.0903514739229052,265.8941245244851
1.1003514739229052,265.1332423175201
1.1103514739229052,264.50935767343384
1.1203514739229052,266.0060876544836
1.1303514739229052,265.8408583395027
1.1403514739229053,266.8401254099146
1.1503514739229053,269.2304161219479
1.1603514739229053,275.21280044059347
1.1703514739229053,277.3583167847612
1.180351473922905,277.3791972547823
1.190351473922905,277.321615842034
1.200351473922905,277.55377209009697
1.210351473922905,277.61667190977244
1.220351473922905,276.7217820270834
1.2303514739229051,275.7272668495374
1.2403514739229051,273.35391220330206
1.2503514739229051,271.9467948513875
1.2603514739229051,272.448083071801
1.2703514739229052,272.8367604823892
1.2803514739229052,271.97509393422416
1.2903514739229052,270.2976279283497
1.3003514739229052,268.8642295894715
1.3103514739229052,267.025207034843
1.3203514739229052,265.27941847221643
1.3303514739229052,263.96593066141133
1.3403514739229052,263.19063876381995
1.3503514739229052,262.070580350052
1.3603514739229052,261.71462823252557
1.3703514739229052,261.1983804673884
1.3803514739229052,258.20380661511217
1.3903514739229053,255.80909215926516
1.4003514739229053,254.613693390746
1.4103514739229053,253.78035408579842
1.4203514739229053,253.15813230342232
1.430351473922905,252.79206748327786
1.440351473922905,252.44643110056782
1.450351473922905,252.45376696306758
1.460351473922905,251.93750996181012
1.470351473922905,252.613487303827
1.4803514739229051,251.66753223614455
1.4903514739229051,249.18774176518772
1.5003514739229051,246.3520693168605
1.5103514739229051,245.08492110952042
1.5203514739229052,244.81432846628704
1.5303514739229052,244.94148838054096
1.5403514739229052,247.42140345998462
1.5503514739229052,248.12387813224962
1.5603514739229052,250.85466480379267
1.5703514739229052,253.81802096096092
1.5803514739229052,256.54445091039423
1.5903514739229052,258.20419015121246
1.6003514739229052,257.1450929996769
1.6103514739229052,253.96144754753482
1.6203514739229052,219.71255620086941
1.7403514739229051,289.08282891381964
1.7503514739229051,263.48159346223207
1.7603514739229051,252.59040178239468
1.7703514739229052,248.4304062986609
1.7803514739229052,244.04747849304752
1.7903514739229052,228.41059579661118
1.8703514739229048,274.4217314169583
1.8803514739229048,275.42658279273394
1.8903514739229053,280.6410192228302
1.9003514739229053,273.16424861307
1.9103514739229053,263.72029124964854
1.9203514739229053,263.55374844761883
1.9303514739229053,268.7529038332793
1.940351473922905,269.43161177998303
1.950351473922905,267.1695609185924
1.960351473922905,263.2045198409269
1.970351473922905,260.1263079460897
1.980351473922905,253.67503483679715
1.990351473922905,252.03331318576818
2.000351473922905,249.5487126942513
2.0103514739229054,243.9336202229816
2.020351473922905,237.0022510793279
2.0303514739229054,206.14088643112882
2.040351473922905,191.59579881125083
2.0503514739229054,172.46594148464317
2.100351473922905,261.80767713548823
2.110351473922905,258.4546315992846
2.120351473922905,256.0131835020862
2.130351473922905,254.1786838150739
2.1403514739229053,256.18829489827505
2.150351473922905,251.64479829638236
2.1603514739229053,250.70584382561358
2.170351473922905,251.07825041405042
2.1803514739229053,250.55657522457162
2.190351473922905,248.0128012039697
2.2003514739229053,245.93323568517224
2.2103514739229047,238.7192707684544
2.2203514739229053,237.2994639159877
2.2303514739229047,246.55745416022881
2.2403514739229053,268.36892413150963
2.2503514739229047,275.3387638087531
2.2603514739229054,276.08989123476607
2.2703514739229047,271.9861560273708
2.2803514739229054,281.9399739856011
2.2903514739229047,283.9736234315333
2.3003514739229054,285.8386281966966
2.3103514739229047,288.5380840790049
2.3203514739229054,290.2184438855928
2.3303514739229048,290.0258907690688
2.3403514739229045,288.3185367943944
2.3503514739229048,285.2207769065024
2.3603514739229046,279.17057491414954
2.370351473922905,277.2047976909957
2.3803514739229046,275.3055443212659
2.3903514739229053,274.04655459319025
2.4003514739229046,272.9713587763493
2.4103514739229053,272.1951990804951
2.4203514739229046,272.27947124957444
2.4303514739229053,272.7117348796465
2.4403514739229046,272.51933673957996
2.4503514739229053,270.7101779655415
2.4603514739229047,269.0528894649228
2.4703514739229053,267.2331948537079
2.4803514739229047,264.77092733621896
2.4903514739229053,260.20634356740953
2.5003514739229047,234.50701133562168
2.5103514739229054,231.24895147721668
2.5203514739229047,254.58830248886045
2.5303514739229054,270.7006040737897
2.5403514739229047,270.4236143003987
2.5503514739229054,269.17555546581644
2.5603514739229047,267.86006857410234
2.5703514739229054,266.2459956796086
2.5803514739229048,264.91851396146717
2.5903514739229045,263.6194370532685
2.6003514739229048,263.99861354288583
2.6103514739229046,266.85004985102654
2.620351473922905,269.8015171205633
2.6303514739229046,271.20746421445585
2.6403514739229053,270.4351406339083
2.6503514739229046,269.7470998329908
2.6603514739229053,269.1526063718104
2.6703514739229046,269.17704329284487
2.6803514739229053,269.11354206361983
2.6903514739229046,268.8499469276386
2.7003514739229053,267.92760371518875
2.7103514739229047,266.71368404297715
2.7203514739229053,266.1705015019644
2.7303514739229047,266.2920873887333
