Time,Silences,Pitch,Intensity,Harmonicity,Jitter,Shimmer
0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.010000420581100511,1.0,0.0,0.0,0.0,0.0,0.0
0.020000841162201022,1.0,0.0,0.0,0.0,0.0,0.0
0.030001261743301533,1.0,0.0,0.0,0.0,0.0,0.0
0.040001682324402044,1.0,0.0,0.0,0.0,0.0,0.0
0.050002102905502555,1.0,0.0,0.0,0.0,0.0,0.0
0.060002523486603065,1.0,0.0,0.0,0.0,0.0,0.0
0.07000294406770358,1.0,0.0,0.0,0.0,0.0,0.0
0.08000336464880409,1.0,0.0,0.0,0.0,0.0,0.0
0.0900037852299046,1.0,0.0,0.0,0.0,0.0,0.0
0.10000420581100511,1.0,0.0,0.0,0.0,0.0,0.0
0.11000462639210562,1.0,0.0,0.0,0.0,0.0,0.0
0.12000504697320613,1.0,0.0,0.0,0.0,0.0,0.0
0.13000546755430664,1.0,0.0,0.0,0.0,0.0,0.0
0.14000588813540715,1.0,0.0,0.0,0.0,0.0,0.0
0.15000630871650766,1.0,0.0,0.0,0.0,0.0,0.0
0.16000672929760817,1.0,0.0,0.0,0.0,0.0,0.0
0.17000714987870869,1.0,0.0,0.0,0.0,0.0,0.0
0.1800075704598092,1.0,0.0,0.0,0.0,0.0,0.0
0.1900079910409097,1.0,0.0,0.0,0.0,0.0,0.0
0.20000841162201022,1.0,0.0,0.0,0.0,0.0,0.0
0.21000883220311073,1.0,0.0,0.0,0.0,0.0,0.0
0.22000925278421124,1.0,0.0,0.0,0.0,0.0,0.0
0.23000967336531175,1.0,0.0,0.0,0.0,0.0,0.0
0.24001009394641226,1.0,0.0,0.0,0.0,0.0,0.0
0.2500105145275128,1.0,0.0,0.0,0.0,0.0,0.0
0.2600109351086133,1.0,0.0,0.0,0.0,0.0,0.0
0.2700113556897138,1.0,0.0,0.0,0.0,0.0,0.0
0.2800117762708143,1.0,0.0,0.0,0.0,0.0,0.0
0.2900121968519148,1.0,0.0,0.0,0.0,0.0,0.0
0.3000126174330153,1.0,0.0,0.0,0.0,0.0,0.0
0.31001303801411584,1.0,0.0,0.0,0.0,0.0,0.0
0.32001345859521635,1.0,0.0,0.0,0.0,0.0,0.0
0.33001387917631686,1.0,0.0,0.0,0.0,0.0,0.0
0.34001429975741737,1.0,0.0,0.0,0.0,0.0,0.0
0.3500147203385179,1.0,0.0,0.0,0.0,0.0,0.0
